target,class,precision,recall,f_measure,support,confusion_matrix_png
CHUNK-OUTER,B-ADVP,1.0000,0.9828,0.9913,58,outer_confusion_matrix.png
CHUNK-OUTER,B-NP,0.9940,1.0000,0.9970,166,outer_confusion_matrix.png
CHUNK-OUTER,B-VP,1.0000,1.0000,1.0000,99,outer_confusion_matrix.png
CHUNK-OUTER,I-ADVP,1.0000,1.0000,1.0000,36,outer_confusion_matrix.png
CHUNK-OUTER,I-NP,1.0000,1.0000,1.0000,80,outer_confusion_matrix.png
CHUNK-OUTER,I-VP,1.0000,1.0000,1.0000,24,outer_confusion_matrix.png
CHUNK-OUTER,O,1.0000,1.0000,1.0000,80,outer_confusion_matrix.png
CHUNK-INNER,B-RELCL,1.0000,1.0000,1.0000,33,inner_confusion_matrix.png
CHUNK-INNER,I-RELCL,1.0000,1.0000,1.0000,47,inner_confusion_matrix.png
CHUNK-INNER,_,1.0000,1.0000,1.0000,463,inner_confusion_matrix.png
CLAUSE,B-COMPCL,1.0000,1.0000,1.0000,19,clause_confusion_matrix.png
CLAUSE,B-RELCL,1.0000,1.0000,1.0000,33,clause_confusion_matrix.png
CLAUSE,I-COMPCL,1.0000,1.0000,1.0000,25,clause_confusion_matrix.png
CLAUSE,I-RELCL,1.0000,1.0000,1.0000,47,clause_confusion_matrix.png
CLAUSE,O,1.0000,1.0000,1.0000,419,clause_confusion_matrix.png
